Match Date,Home Team,Away Team,Score,Points Home Team,Points Away Team,Total Points,Attendance,Referee,Referee Nationality,Kickoff Time
2015-10-07,Namibia ,Georgia,   16–17   ,16,17,33,11156,George Clancy,Ireland,20:00
2015-10-09,New Zealand ,Tonga,   47–9   ,47,9,56,50985,John Lacey,Ireland,20:00
2015-10-11,Argentina ,Namibia,   64–19   ,64,19,83,30198,Pascal Gaüzère,France,12:00
2015-09-19,Ireland ,Canada,   50–7   ,50,7,57,68523,Glen Jackson,New Zealand,14:30
2015-09-19,France ,Italy,   32–10   ,32,10,42,76232,Craig Joubert,South Africa,20:00
2015-09-23,France ,Romania,   38–11   ,38,11,49,50626,Jaco Peyper,South Africa,20:00
2015-09-26,Italy ,Canada,   23–18   ,23,18,41,33120,George Clancy,Ireland,14:30
2015-09-27,Ireland ,Romania,   44–10   ,44,10,54,89267,Craig Joubert,South Africa,16:45
2015-10-01,France ,Canada,   41–18   ,41,18,59,28145,JP Doyle,England,20:00
2015-10-04,Ireland ,Italy,   16–9   ,16,9,25,53187,Jérôme Garcès,France,16:45
2015-10-06,Canada ,Romania,   15–17   ,15,17,32,27153,Wayne Barnes,England,16:45
2015-10-11,Italy ,Romania,   32–22   ,32,22,54,11450,Romain Poite,France,14:30
2015-10-11,France ,Ireland,   9–24   ,9,24,33,72163,Nigel Owens,Wales,16:45
2015-10-17,South Africa ,Wales,   23–19   ,23,19,42,79572,Wayne Barnes,England,16:00
2015-10-17,New Zealand ,France,   62–13   ,62,13,75,71619,Nigel Owens,Wales,20:00
2015-10-18,Ireland ,Argentina,   20–43   ,20,43,63,72316,Jérôme Garcès,France,13:00
2015-10-18,Australia ,Scotland,   35–34   ,35,34,69,77110,Craig Joubert,South Africa,16:00
2015-10-24,South Africa ,New Zealand,   18–20   ,18,20,38,80090,Jérôme Garcès,France,16:00
2015-10-25,Argentina ,Australia,   15–29   ,15,29,44,80025,Wayne Barnes,England,16:00
2015-10-30,South Africa ,Argentina,   24–13   ,24,13,37,55925,John Lacey,Ireland,20:00
2015-10-31,New Zealand ,Australia,   34–17   ,34,17,51,80125,Nigel Owens,Wales,16:00
2019-09-20,Japan ,Russia,   30–10   ,30,10,40,45745,Nigel Owens,Wales,19:45
2019-09-22,Ireland ,Scotland,   27–3   ,27,3,30,63731,Wayne Barnes,England,16:45
2019-09-24,Russia ,Samoa,   9–34   ,9,34,43,22564,Romain Poite,France,19:15
2019-09-28,Japan ,Ireland,   19–12   ,19,12,31,47813,Angus Gardner,Australia,16:15
2019-09-30,Scotland ,Samoa,   34–0   ,34,0,34,27586,Pascal Gaüzère,France,19:15
2019-10-03,Ireland ,Russia,   35–0   ,35,0,35,26856,Jérôme Garcès,France,19:15
2019-10-05,Japan ,Samoa,   38–19   ,38,19,57,39695,Jaco Peyper,South Africa,19:30
2019-10-09,Scotland ,Russia,   61–0   ,61,0,61,44123,Wayne Barnes,England,16:15
2019-10-12,Ireland ,Samoa,   47–5   ,47,5,52,17967,Nic Berry,Australia,19:45
2019-10-13,Japan ,Scotland,   28–21   ,28,21,49,67666,Ben O,New Zealand,19:45
2019-09-21,New Zealand ,South Africa,   23–13   ,23,13,36,63649,Jérôme Garcès,France,18:45
2019-09-22,Italy ,Namibia,   47–22   ,47,22,69,20354,Nic Berry,Australia,14:15
2019-09-26,Italy ,Canada,   48–7   ,48,7,55,16984,Nigel Owens,Wales,16:45
2019-09-28,South Africa ,Namibia,   57–3   ,57,3,60,36449,Mathieu Raynal,France,18:45
2019-10-02,New Zealand ,Canada,   63–0   ,63,0,63,34411,Romain Poite,France,19:15
2019-10-04,South Africa ,Italy,   49–3   ,49,3,52,44148,Wayne Barnes,England,18:45
2019-10-06,New Zealand ,Namibia,   71–9   ,71,9,80,48354,Pascal Gaüzère,France,13:45
2019-10-08,South Africa ,Canada,   66–7   ,66,7,73,28014,Luke Pearce,England,19:15
2019-10-12,New Zealand ,Italy,   0–0   ,0,0,0,0,Luke Pearce,England,13:45
2019-10-13,Namibia ,Canada,   0–0   ,0,0,0,0,Paul Williams,New Zealand,12:15
2019-09-21,France ,Argentina,   23–21   ,23,21,44,40004,Angus Gardner,Australia,16:15
2019-09-22,England ,Tonga,   35–3   ,35,3,38,35923,Paul Williams,New Zealand,19:15
2019-09-26,England ,United States,   45–7   ,45,7,52,27194,Nic Berry,Australia,19:45
2019-09-28,Argentina ,Tonga,   28–12   ,28,12,40,21971,Jaco Peyper,South Africa,13:45
2019-10-02,France ,United States,   33–9   ,33,9,42,17660,Ben O,New Zealand,16:45
2019-10-05,England ,Argentina,   39–10   ,39,10,49,48185,Nigel Owens,Wales,17:00
2019-10-06,France ,Tonga,   23–21   ,23,21,44,28477,Nic Berry,Australia,16:45
2019-10-09,Argentina ,United States,   47–17   ,47,17,64,24377,Paul Williams,New Zealand,13:45
